AUC	fold	Run	group
0.39506	5	37	DataDriven
0.46914	5	38	DataDriven
0.54321	5	39	DataDriven
0.49383	5	40	DataDriven
0.55556	5	41	DataDriven
0.39506	5	42	DataDriven
0.50617	5	43	DataDriven
0.48148	5	44	DataDriven
0.53086	5	45	DataDriven
0.41975	5	46	DataDriven
0.38272	5	47	DataDriven
0.50617	5	48	DataDriven
0.53086	5	49	DataDriven
0.46914	5	50	DataDriven
0.45679	5	51	DataDriven
0.48148	5	52	DataDriven
0.34568	5	53	DataDriven
0.55556	5	54	DataDriven
0.53086	5	55	DataDriven
0.45679	5	56	DataDriven
0.38272	5	57	DataDriven
0.50617	5	58	DataDriven
0.39506	5	59	DataDriven
0.64198	5	60	DataDriven
0.5679	5	61	DataDriven
0.34568	5	62	DataDriven
0.48148	5	63	DataDriven
0.61728	5	64	DataDriven
0.46914	5	65	DataDriven
0.59259	5	66	DataDriven
0.51852	5	67	DataDriven
0.44444	5	68	DataDriven
0.51852	5	69	DataDriven
0.4321	5	70	DataDriven
0.40741	5	71	DataDriven
0.4321	5	72	DataDriven
0.50617	5	73	DataDriven
0.46914	5	74	DataDriven
0.65432	5	75	DataDriven
0.617283940315247	1	65	ref_DMN
0.679012358188629	2	65	ref_DMN
0.654321014881134	3	65	ref_DMN
0.567901253700256	4	65	ref_DMN
0.360000014305115	5	65	ref_DMN
0.197530865669251	1	59	ref_CoreNetwork
0.358024686574936	2	59	ref_CoreNetwork
0.419753074645996	3	59	ref_CoreNetwork
0.456790149211884	4	59	ref_CoreNetwork
0.439999997615814	5	59	ref_CoreNetwork
