Clusters	Supercluster	roi	regions	n_cells_cluster	n_cells_roi	n_cells_region
124	Upper-layer intratelencephalic	Human V1C	Occipital_cortex	12	30599	112307
124	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	47	9535	110066
124	Upper-layer intratelencephalic	Human CoA	Amygdala	10	8288	185429
124	Upper-layer intratelencephalic	Human SEP	BasalForebrain	13	20447	186315
124	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	12	10665	127333
124	Upper-layer intratelencephalic	Human MEC	Temporal_cortex	1	46874	403268
124	Upper-layer intratelencephalic	Human Sub	Hippocampus	54	27772	237728
124	Upper-layer intratelencephalic	Human BM	Amygdala	8	26270	185429
124	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	15	21708	403268
124	Upper-layer intratelencephalic	Human CA1R-CA2R-CA3R	Hippocampus	2	21695	237728
124	Upper-layer intratelencephalic	Human SN-RN	Midbrain	1	11252	127333
124	Upper-layer intratelencephalic	Human HTHma	Hypothalamus	2	9022	110066
124	Upper-layer intratelencephalic	Human VPL	Thalamus	1	2309	212413
124	Upper-layer intratelencephalic	Human MN	Hypothalamus	1	17272	110066
124	Upper-layer intratelencephalic	Human LP	Thalamus	1	12519	212413
124	Upper-layer intratelencephalic	Human NAC	BasalForebrain	1	27406	186315
124	Upper-layer intratelencephalic	Human SC	Midbrain	3	27156	127333
124	Upper-layer intratelencephalic	Human IO	Medulla	2	10446	47114
124	Upper-layer intratelencephalic	Human LG	Thalamus	1	40223	212413
124	Upper-layer intratelencephalic	Human PnRF	Pons	1	16035	106554
124	Upper-layer intratelencephalic	Human ANC	Thalamus	1	24985	212413
124	Upper-layer intratelencephalic	Human PTR	Midbrain	1	23580	127333
124	Upper-layer intratelencephalic	Human STH	Thalamus	1	557	212413
124	Upper-layer intratelencephalic	Human Pul	Thalamus	1	30449	212413
125	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	1602	85093	403268
125	Upper-layer intratelencephalic	Human A23	Limbic_cortex	728	32979	125352
125	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	100	35694	310434
125	Upper-layer intratelencephalic	Human A38	Temporal_cortex	113	34466	403268
125	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	906	25284	112307
125	Upper-layer intratelencephalic	Human BM	Amygdala	50	26270	185429
125	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	54	21708	403268
125	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	616	35308	403268
125	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	288	110246	310434
125	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	1202	32527	143001
125	Upper-layer intratelencephalic	Human A40	Parietal_cortex	986	35993	143001
125	Upper-layer intratelencephalic	Human TH-TL	Limbic_cortex	174	32230	125352
125	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	223	31649	125352
125	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	329	36450	403268
125	Upper-layer intratelencephalic	Human STG	Temporal_cortex	574	27340	403268
125	Upper-layer intratelencephalic	Human A43	Parietal_cortex	587	39028	143001
125	Upper-layer intratelencephalic	Human A46	Frontal_cortex	65	27923	310434
125	Upper-layer intratelencephalic	Human A13	Frontal_cortex	118	32634	310434
125	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	428	30175	403268
125	Upper-layer intratelencephalic	Human Cla	BasalForebrain	112	27853	186315
125	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	388	26596	403268
125	Upper-layer intratelencephalic	Human Pir	Paleocortex	8	32175	61436
125	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	439	35453	143001
125	Upper-layer intratelencephalic	Human TF	Temporal_cortex	296	29403	403268
125	Upper-layer intratelencephalic	Human AON	Paleocortex	27	29261	61436
125	Upper-layer intratelencephalic	Human V2	Occipital_cortex	1383	29649	112307
125	Upper-layer intratelencephalic	Human A25	Frontal_cortex	39	35100	310434
125	Upper-layer intratelencephalic	Human A19	Occipital_cortex	705	26775	112307
125	Upper-layer intratelencephalic	Human V1C	Occipital_cortex	658	30599	112307
125	Upper-layer intratelencephalic	Human CA1C-CA3C	Hippocampus	12	32432	237728
125	Upper-layer intratelencephalic	Human Sub	Hippocampus	13	27772	237728
125	Upper-layer intratelencephalic	Human PB	Pons	1	15507	106554
125	Upper-layer intratelencephalic	Human FI	Frontal_cortex	18	32607	310434
125	Upper-layer intratelencephalic	Human A14	Frontal_cortex	41	13473	310434
125	Upper-layer intratelencephalic	Human A32	Frontal_cortex	59	22757	310434
125	Upper-layer intratelencephalic	Human CA4C-DGC	Hippocampus	3	36588	237728
125	Upper-layer intratelencephalic	Human ETH	Thalamus	6	22261	212413
125	Upper-layer intratelencephalic	Human HTHma-HTHtub	Hypothalamus	1	16512	110066
125	Upper-layer intratelencephalic	Human LEC	Temporal_cortex	4	29852	403268
125	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	2	9535	110066
125	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	17	28494	125352
125	Upper-layer intratelencephalic	Human SC	Midbrain	1	27156	127333
125	Upper-layer intratelencephalic	Human HTHpo-HTHso	Hypothalamus	1	18002	110066
125	Upper-layer intratelencephalic	Human CaB	BasalForebrain	1	29889	186315
125	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	1	10665	127333
125	Upper-layer intratelencephalic	Human CA1R-CA2R-CA3R	Hippocampus	8	21695	237728
125	Upper-layer intratelencephalic	Human CEN	Amygdala	1	30013	185429
125	Upper-layer intratelencephalic	Human CMN	Amygdala	1	34358	185429
125	Upper-layer intratelencephalic	Human SEP	BasalForebrain	1	20447	186315
125	Upper-layer intratelencephalic	Human IC	Midbrain	1	27978	127333
125	Upper-layer intratelencephalic	Human CA1U-CA2U-CA3U	Hippocampus	1	31168	237728
125	Upper-layer intratelencephalic	Human SN	Midbrain	1	8425	127333
125	Upper-layer intratelencephalic	Human MoSR	Medulla	1	7147	47114
125	Upper-layer intratelencephalic	Human PnEN	Pons	1	25136	106554
125	Upper-layer intratelencephalic	Human PAG	Midbrain	1	16546	127333
125	Upper-layer intratelencephalic	Human SN-RN	Midbrain	1	11252	127333
126	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	3235	36450	403268
126	Upper-layer intratelencephalic	Human FI	Frontal_cortex	3032	32607	310434
126	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	2907	28494	125352
126	Upper-layer intratelencephalic	Human Cla	BasalForebrain	430	27853	186315
126	Upper-layer intratelencephalic	Human A25	Frontal_cortex	4101	35100	310434
126	Upper-layer intratelencephalic	Human TF	Temporal_cortex	526	29403	403268
126	Upper-layer intratelencephalic	Human A32	Frontal_cortex	1426	22757	310434
126	Upper-layer intratelencephalic	Human AON	Paleocortex	2012	29261	61436
126	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	1049	9535	110066
126	Upper-layer intratelencephalic	Human Pir	Paleocortex	719	32175	61436
126	Upper-layer intratelencephalic	Human TH-TL	Limbic_cortex	1375	32230	125352
126	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	701	35694	310434
126	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	1468	85093	403268
126	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	911	110246	310434
126	Upper-layer intratelencephalic	Human SI	BasalForebrain	273	33357	186315
126	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	98	25284	112307
126	Upper-layer intratelencephalic	Human Sub	Hippocampus	285	27772	237728
126	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	661	35308	403268
126	Upper-layer intratelencephalic	Human A13	Frontal_cortex	1738	32634	310434
126	Upper-layer intratelencephalic	Human A14	Frontal_cortex	1442	13473	310434
126	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	447	26596	403268
126	Upper-layer intratelencephalic	Human LEC	Temporal_cortex	613	29852	403268
126	Upper-layer intratelencephalic	Human CoA	Amygdala	280	8288	185429
126	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	144	30175	403268
126	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	80	35453	143001
126	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	29	10665	127333
126	Upper-layer intratelencephalic	Human A43	Parietal_cortex	1057	39028	143001
126	Upper-layer intratelencephalic	Human A38	Temporal_cortex	2225	34466	403268
126	Upper-layer intratelencephalic	Human A46	Frontal_cortex	557	27923	310434
126	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	633	21708	403268
126	Upper-layer intratelencephalic	Human SEP	BasalForebrain	503	20447	186315
126	Upper-layer intratelencephalic	Human STG	Temporal_cortex	182	27340	403268
126	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	42	31649	125352
126	Upper-layer intratelencephalic	Human A40	Parietal_cortex	514	35993	143001
126	Upper-layer intratelencephalic	Human BM	Amygdala	427	26270	185429
126	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	206	32527	143001
126	Upper-layer intratelencephalic	Human CA4C-DGC	Hippocampus	1	36588	237728
126	Upper-layer intratelencephalic	Human A23	Limbic_cortex	371	32979	125352
126	Upper-layer intratelencephalic	Human GPe	BasalForebrain	1	15129	186315
126	Upper-layer intratelencephalic	Human A19	Occipital_cortex	104	26775	112307
126	Upper-layer intratelencephalic	Human V2	Occipital_cortex	34	29649	112307
126	Upper-layer intratelencephalic	Human CEN	Amygdala	21	30013	185429
126	Upper-layer intratelencephalic	Human CA1R-CA2R-CA3R	Hippocampus	3	21695	237728
126	Upper-layer intratelencephalic	Human BNST	Amygdala	46	31259	185429
126	Upper-layer intratelencephalic	Human CMN	Amygdala	1	34358	185429
126	Upper-layer intratelencephalic	Human SC	Midbrain	3	27156	127333
126	Upper-layer intratelencephalic	Human La	Amygdala	20	24560	185429
126	Upper-layer intratelencephalic	Human HTHpo	Hypothalamus	1	13248	110066
126	Upper-layer intratelencephalic	Human CA1C-CA3C	Hippocampus	4	32432	237728
126	Upper-layer intratelencephalic	Human SN	Midbrain	1	8425	127333
126	Upper-layer intratelencephalic	Human MN	Hypothalamus	3	17272	110066
126	Upper-layer intratelencephalic	Human CA1U-CA2U-CA3U	Hippocampus	17	31168	237728
126	Upper-layer intratelencephalic	Human MD	Thalamus	1	17500	212413
126	Upper-layer intratelencephalic	Human PTR	Midbrain	2	23580	127333
126	Upper-layer intratelencephalic	Human BL	Amygdala	1	30681	185429
126	Upper-layer intratelencephalic	Human CM-Pf	Thalamus	1	15984	212413
126	Upper-layer intratelencephalic	Human IC	Midbrain	1	27978	127333
126	Upper-layer intratelencephalic	Human MEC	Temporal_cortex	1	46874	403268
126	Upper-layer intratelencephalic	Human PnEN	Pons	1	25136	106554
126	Upper-layer intratelencephalic	Human PAG	Midbrain	1	16546	127333
126	Upper-layer intratelencephalic	Human NAC	BasalForebrain	1	27406	186315
126	Upper-layer intratelencephalic	Human HTHma-HTHtub	Hypothalamus	1	16512	110066
127	Upper-layer intratelencephalic	Human AON	Paleocortex	401	29261	61436
127	Upper-layer intratelencephalic	Human A38	Temporal_cortex	1106	34466	403268
127	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	156	35308	403268
127	Upper-layer intratelencephalic	Human A13	Frontal_cortex	387	32634	310434
127	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	968	28494	125352
127	Upper-layer intratelencephalic	Human A14	Frontal_cortex	342	13473	310434
127	Upper-layer intratelencephalic	Human A25	Frontal_cortex	953	35100	310434
127	Upper-layer intratelencephalic	Human TH-TL	Limbic_cortex	866	32230	125352
127	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	1230	36450	403268
127	Upper-layer intratelencephalic	Human A32	Frontal_cortex	288	22757	310434
127	Upper-layer intratelencephalic	Human TF	Temporal_cortex	388	29403	403268
127	Upper-layer intratelencephalic	Human Cla	BasalForebrain	283	27853	186315
127	Upper-layer intratelencephalic	Human LEC	Temporal_cortex	397	29852	403268
127	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	436	21708	403268
127	Upper-layer intratelencephalic	Human CoA	Amygdala	59	8288	185429
127	Upper-layer intratelencephalic	Human CA1U-CA2U-CA3U	Hippocampus	13	31168	237728
127	Upper-layer intratelencephalic	Human BM	Amygdala	256	26270	185429
127	Upper-layer intratelencephalic	Human FI	Frontal_cortex	938	32607	310434
127	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	45	85093	403268
127	Upper-layer intratelencephalic	Human SI	BasalForebrain	19	33357	186315
127	Upper-layer intratelencephalic	Human Sub	Hippocampus	132	27772	237728
127	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	74	26596	403268
127	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	109	110246	310434
127	Upper-layer intratelencephalic	Human SEP	BasalForebrain	139	20447	186315
127	Upper-layer intratelencephalic	Human Pir	Paleocortex	238	32175	61436
127	Upper-layer intratelencephalic	Human A43	Parietal_cortex	33	39028	143001
127	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	2	35453	143001
127	Upper-layer intratelencephalic	Human La	Amygdala	23	24560	185429
127	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	79	9535	110066
127	Upper-layer intratelencephalic	Human A23	Limbic_cortex	5	32979	125352
127	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	17	35694	310434
127	Upper-layer intratelencephalic	Human CEN	Amygdala	11	30013	185429
127	Upper-layer intratelencephalic	Human A46	Frontal_cortex	23	27923	310434
127	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	5	25284	112307
127	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	2	30175	403268
127	Upper-layer intratelencephalic	Human GPi	BasalForebrain	1	1511	186315
127	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	4	10665	127333
127	Upper-layer intratelencephalic	Human BNST	Amygdala	1	31259	185429
127	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	1	32527	143001
128	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	1907	35453	143001
128	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	7783	110246	310434
128	Upper-layer intratelencephalic	Human A13	Frontal_cortex	56	32634	310434
128	Upper-layer intratelencephalic	Human A32	Frontal_cortex	441	22757	310434
128	Upper-layer intratelencephalic	Human A43	Parietal_cortex	256	39028	143001
128	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	82	35694	310434
128	Upper-layer intratelencephalic	Human A46	Frontal_cortex	60	27923	310434
128	Upper-layer intratelencephalic	Human A23	Limbic_cortex	17	32979	125352
128	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	4	30175	403268
128	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	1	35308	403268
128	Upper-layer intratelencephalic	Human A25	Frontal_cortex	1	35100	310434
128	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	10	32527	143001
128	Upper-layer intratelencephalic	Human Cla	BasalForebrain	1	27853	186315
128	Upper-layer intratelencephalic	Human A19	Occipital_cortex	1	26775	112307
128	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	7	31649	125352
128	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	3	28494	125352
128	Upper-layer intratelencephalic	Human CaB	BasalForebrain	1	29889	186315
128	Upper-layer intratelencephalic	Human Pir	Paleocortex	3	32175	61436
128	Upper-layer intratelencephalic	Human ETH	Thalamus	1	22261	212413
128	Upper-layer intratelencephalic	Human STG	Temporal_cortex	1	27340	403268
128	Upper-layer intratelencephalic	Human FI	Frontal_cortex	4	32607	310434
128	Upper-layer intratelencephalic	Human A40	Parietal_cortex	1	35993	143001
128	Upper-layer intratelencephalic	Human LEC	Temporal_cortex	1	29852	403268
128	Upper-layer intratelencephalic	Human HTHso-HTHtub	Hypothalamus	4	15499	110066
128	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	1	36450	403268
128	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	1	25284	112307
128	Upper-layer intratelencephalic	Human CoA	Amygdala	1	8288	185429
128	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	1	10665	127333
129	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	2592	32527	143001
129	Upper-layer intratelencephalic	Human A40	Parietal_cortex	2386	35993	143001
129	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	1012	35453	143001
129	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	3948	35694	310434
129	Upper-layer intratelencephalic	Human A46	Frontal_cortex	3082	27923	310434
129	Upper-layer intratelencephalic	Human Cla	BasalForebrain	159	27853	186315
129	Upper-layer intratelencephalic	Human A13	Frontal_cortex	3054	32634	310434
129	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	2250	110246	310434
129	Upper-layer intratelencephalic	Human A43	Parietal_cortex	2110	39028	143001
129	Upper-layer intratelencephalic	Human STG	Temporal_cortex	1655	27340	403268
129	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	6659	85093	403268
129	Upper-layer intratelencephalic	Human A23	Limbic_cortex	2287	32979	125352
129	Upper-layer intratelencephalic	Human A32	Frontal_cortex	1029	22757	310434
129	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	1327	26596	403268
129	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	248	36450	403268
129	Upper-layer intratelencephalic	Human AON	Paleocortex	340	29261	61436
129	Upper-layer intratelencephalic	Human A25	Frontal_cortex	672	35100	310434
129	Upper-layer intratelencephalic	Human A14	Frontal_cortex	801	13473	310434
129	Upper-layer intratelencephalic	Human Pir	Paleocortex	399	32175	61436
129	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	1824	35308	403268
129	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	214	28494	125352
129	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	613	31649	125352
129	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	902	25284	112307
129	Upper-layer intratelencephalic	Human TF	Temporal_cortex	1104	29403	403268
129	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	1726	30175	403268
129	Upper-layer intratelencephalic	Human FI	Frontal_cortex	149	32607	310434
129	Upper-layer intratelencephalic	Human A38	Temporal_cortex	269	34466	403268
129	Upper-layer intratelencephalic	Human A19	Occipital_cortex	1945	26775	112307
129	Upper-layer intratelencephalic	Human Sub	Hippocampus	188	27772	237728
129	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	13	9535	110066
129	Upper-layer intratelencephalic	Human SEP	BasalForebrain	20	20447	186315
129	Upper-layer intratelencephalic	Human BNST	Amygdala	1	31259	185429
129	Upper-layer intratelencephalic	Human TH-TL	Limbic_cortex	483	32230	125352
129	Upper-layer intratelencephalic	Human V2	Occipital_cortex	753	29649	112307
129	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	9	10665	127333
129	Upper-layer intratelencephalic	Human BM	Amygdala	25	26270	185429
129	Upper-layer intratelencephalic	Human V1C	Occipital_cortex	53	30599	112307
129	Upper-layer intratelencephalic	Human CoA	Amygdala	3	8288	185429
129	Upper-layer intratelencephalic	Human IO	Medulla	1	10446	47114
129	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	25	21708	403268
129	Upper-layer intratelencephalic	Human SC	Midbrain	2	27156	127333
129	Upper-layer intratelencephalic	Human HTHpo	Hypothalamus	1	13248	110066
129	Upper-layer intratelencephalic	Human Pul	Thalamus	2	30449	212413
129	Upper-layer intratelencephalic	Human SI	BasalForebrain	2	33357	186315
129	Upper-layer intratelencephalic	Human VLN	Thalamus	1	14486	212413
129	Upper-layer intratelencephalic	Human ANC	Thalamus	2	24985	212413
129	Upper-layer intratelencephalic	Human HTHma-HTHtub	Hypothalamus	1	16512	110066
129	Upper-layer intratelencephalic	Human HTHma	Hypothalamus	1	9022	110066
129	Upper-layer intratelencephalic	Human VPL	Thalamus	1	2309	212413
130	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	4610	31649	125352
130	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	1219	110246	310434
130	Upper-layer intratelencephalic	Human A23	Limbic_cortex	1962	32979	125352
130	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	1335	30175	403268
130	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	127	28494	125352
130	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	584	26596	403268
130	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	564	25284	112307
130	Upper-layer intratelencephalic	Human A40	Parietal_cortex	945	35993	143001
130	Upper-layer intratelencephalic	Human A14	Frontal_cortex	49	13473	310434
130	Upper-layer intratelencephalic	Human V2	Occipital_cortex	659	29649	112307
130	Upper-layer intratelencephalic	Human A32	Frontal_cortex	286	22757	310434
130	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	340	35694	310434
130	Upper-layer intratelencephalic	Human BM	Amygdala	171	26270	185429
130	Upper-layer intratelencephalic	Human STG	Temporal_cortex	1368	27340	403268
130	Upper-layer intratelencephalic	Human V1C	Occipital_cortex	478	30599	112307
130	Upper-layer intratelencephalic	Human A25	Frontal_cortex	118	35100	310434
130	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	3060	85093	403268
130	Upper-layer intratelencephalic	Human Sub	Hippocampus	108	27772	237728
130	Upper-layer intratelencephalic	Human A19	Occipital_cortex	896	26775	112307
130	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	1144	35308	403268
130	Upper-layer intratelencephalic	Human A46	Frontal_cortex	227	27923	310434
130	Upper-layer intratelencephalic	Human A13	Frontal_cortex	274	32634	310434
130	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	577	35453	143001
130	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	293	36450	403268
130	Upper-layer intratelencephalic	Human SEP	BasalForebrain	37	20447	186315
130	Upper-layer intratelencephalic	Human TH-TL	Limbic_cortex	503	32230	125352
130	Upper-layer intratelencephalic	Human A43	Parietal_cortex	653	39028	143001
130	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	1229	32527	143001
130	Upper-layer intratelencephalic	Human A35-A36	Temporal_cortex	189	21708	403268
130	Upper-layer intratelencephalic	Human TF	Temporal_cortex	747	29403	403268
130	Upper-layer intratelencephalic	Human SC	Midbrain	4	27156	127333
130	Upper-layer intratelencephalic	Human Cla	BasalForebrain	122	27853	186315
130	Upper-layer intratelencephalic	Human SI	BasalForebrain	10	33357	186315
130	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	17	10665	127333
130	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	34	9535	110066
130	Upper-layer intratelencephalic	Human A38	Temporal_cortex	396	34466	403268
130	Upper-layer intratelencephalic	Human HTHma	Hypothalamus	3	9022	110066
130	Upper-layer intratelencephalic	Human Pir	Paleocortex	29	32175	61436
130	Upper-layer intratelencephalic	Human AON	Paleocortex	58	29261	61436
130	Upper-layer intratelencephalic	Human La	Amygdala	2	24560	185429
130	Upper-layer intratelencephalic	Human MoAN	Medulla	3	15537	47114
130	Upper-layer intratelencephalic	Human FI	Frontal_cortex	17	32607	310434
130	Upper-layer intratelencephalic	Human BL	Amygdala	2	30681	185429
130	Upper-layer intratelencephalic	Human MoSR	Medulla	1	7147	47114
130	Upper-layer intratelencephalic	Human CA1C-CA3C	Hippocampus	4	32432	237728
130	Upper-layer intratelencephalic	Human CEN	Amygdala	1	30013	185429
130	Upper-layer intratelencephalic	Human Pul	Thalamus	1	30449	212413
130	Upper-layer intratelencephalic	Human CA1R-CA2R-CA3R	Hippocampus	3	21695	237728
130	Upper-layer intratelencephalic	Human MN	Hypothalamus	1	17272	110066
130	Upper-layer intratelencephalic	Human BNST	Amygdala	4	31259	185429
130	Upper-layer intratelencephalic	Human ETH	Thalamus	1	22261	212413
130	Upper-layer intratelencephalic	Human VA	Thalamus	1	4235	212413
130	Upper-layer intratelencephalic	Human HTHma-HTHtub	Hypothalamus	2	16512	110066
130	Upper-layer intratelencephalic	Human NAC	BasalForebrain	1	27406	186315
130	Upper-layer intratelencephalic	Human Pu	BasalForebrain	1	30723	186315
130	Upper-layer intratelencephalic	Human CA1U-CA2U-CA3U	Hippocampus	4	31168	237728
130	Upper-layer intratelencephalic	Human PB	Pons	1	15507	106554
130	Upper-layer intratelencephalic	Human IC	Midbrain	1	27978	127333
130	Upper-layer intratelencephalic	Human DTg	Pons	1	17996	106554
130	Upper-layer intratelencephalic	Human CM-Pf	Thalamus	1	15984	212413
130	Upper-layer intratelencephalic	Human PnEN	Pons	2	25136	106554
130	Upper-layer intratelencephalic	Human LEC	Temporal_cortex	6	29852	403268
130	Upper-layer intratelencephalic	Human MEC	Temporal_cortex	2	46874	403268
130	Upper-layer intratelencephalic	Human SN	Midbrain	2	8425	127333
130	Upper-layer intratelencephalic	Human MD	Thalamus	1	17500	212413
130	Upper-layer intratelencephalic	Human HTHpo-HTHso	Hypothalamus	1	18002	110066
130	Upper-layer intratelencephalic	Human CMN	Amygdala	3	34358	185429
130	Upper-layer intratelencephalic	Human HTHpo	Hypothalamus	1	13248	110066
131	Upper-layer intratelencephalic	Human A32	Frontal_cortex	802	22757	310434
131	Upper-layer intratelencephalic	Human S1C	Parietal_cortex	2449	35453	143001
131	Upper-layer intratelencephalic	Human M1C	Frontal_cortex	15662	110246	310434
131	Upper-layer intratelencephalic	Human A13	Frontal_cortex	420	32634	310434
131	Upper-layer intratelencephalic	Human A25	Frontal_cortex	56	35100	310434
131	Upper-layer intratelencephalic	Human A46	Frontal_cortex	389	27923	310434
131	Upper-layer intratelencephalic	Human A43	Parietal_cortex	810	39028	143001
131	Upper-layer intratelencephalic	Human Idg	Temporal_cortex	40	36450	403268
131	Upper-layer intratelencephalic	Human A14	Frontal_cortex	162	13473	310434
131	Upper-layer intratelencephalic	Human FI	Frontal_cortex	72	32607	310434
131	Upper-layer intratelencephalic	Human A5-A7	Parietal_cortex	151	32527	143001
131	Upper-layer intratelencephalic	Human A44-A45	Frontal_cortex	606	35694	310434
131	Upper-layer intratelencephalic	Human Pir	Paleocortex	33	32175	61436
131	Upper-layer intratelencephalic	Human A40	Parietal_cortex	79	35993	143001
131	Upper-layer intratelencephalic	Human ACC	Limbic_cortex	27	28494	125352
131	Upper-layer intratelencephalic	Human A29-A30	Limbic_cortex	25	31649	125352
131	Upper-layer intratelencephalic	Human Ig	Temporal_cortex	13	35308	403268
131	Upper-layer intratelencephalic	Human SEP	BasalForebrain	5	20447	186315
131	Upper-layer intratelencephalic	Human A19	Occipital_cortex	18	26775	112307
131	Upper-layer intratelencephalic	Human Pro	Occipital_cortex	4	25284	112307
131	Upper-layer intratelencephalic	Human A38	Temporal_cortex	40	34466	403268
131	Upper-layer intratelencephalic	Human A1C	Temporal_cortex	4	30175	403268
131	Upper-layer intratelencephalic	Human HTHso-HTHtub	Hypothalamus	5	15499	110066
131	Upper-layer intratelencephalic	Human A23	Limbic_cortex	44	32979	125352
131	Upper-layer intratelencephalic	Human Cla	BasalForebrain	2	27853	186315
131	Upper-layer intratelencephalic	Human AON	Paleocortex	77	29261	61436
131	Upper-layer intratelencephalic	Human V2	Occipital_cortex	10	29649	112307
131	Upper-layer intratelencephalic	Human VLN	Thalamus	1	14486	212413
131	Upper-layer intratelencephalic	Human HTHpo-HTHso	Hypothalamus	1	18002	110066
131	Upper-layer intratelencephalic	Human MTG	Temporal_cortex	21	85093	403268
131	Upper-layer intratelencephalic	Human ITG	Temporal_cortex	3	26596	403268
131	Upper-layer intratelencephalic	Human STG	Temporal_cortex	7	27340	403268
131	Upper-layer intratelencephalic	Human V1C	Occipital_cortex	1	30599	112307
131	Upper-layer intratelencephalic	Human HTHpo	Hypothalamus	1	13248	110066
131	Upper-layer intratelencephalic	Human HTHso	Hypothalamus	2	9535	110066
131	Upper-layer intratelencephalic	Human PAG-DR	Midbrain	3	10665	127333
