Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	adjusted_for
Amygdala_excitatory	0.1528769824794138	0.2143402492685866	0.011620755439565056	1.402043955815581	0.07601376774381251	4.637157413274742e-7	1.5435769669948503e-8	4.92033738021905e-9	3.1371364354005564	Eccentric_medium_spiny_neuron
Eccentric_medium_spiny_neuron	0.13994057195924484	0.20035464952853882	0.010486193678410305	1.4317123813591994	0.07493319150835127	4.0135666892966924e-8	1.4187389341237753e-8	4.787228752170808e-9	2.96359127079615	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.2129134122568503	0.011494299994817901	1.39271071945393	0.07518659649346301	6.415350364473098e-7	1.8176167463187093e-8	4.766098478398448e-9	3.8136365720447367	Ependymal
Ependymal	0.11279668936862781	0.11055793286908625	0.008886482245587034	0.980152285389998	0.07878318322398065	0.8010177949079017	-1.2467875302222048e-8	4.859433648731977e-9	-2.565705430606182	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21314066589367733	0.011615254889288171	1.3941972325518561	0.07597778750540334	7.734848958727349e-7	1.790593758898884e-8	4.771272892659458e-9	3.7528638566318215	Fibroblast
Fibroblast	0.12005886774702705	0.09795239417254062	0.009444175077565722	0.8158697146714192	0.07866286976373374	0.017635905590019194	-2.428854717585462e-8	5.125002950725346e-9	-4.739225988624463	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21409999470346922	0.011584059135353238	1.4004724009534895	0.07577372961893156	4.97468144691334e-7	1.2388135704918338e-8	5.69612370134065e-9	2.1748361437450248	Hippocampal_CA1_3
Hippocampal_CA1_3	0.13993486837039576	0.20147167377856917	0.009445192213252485	1.4397531946454596	0.06749706004833521	6.271975019063083e-10	1.5857444809360224e-8	5.256441001395143e-9	3.016764538049872	Amygdala_excitatory
Amygdala_excitatory	0.1528769824794138	0.21344069851161507	0.011576806375493298	1.3961598080362208	0.07572628781479393	6.237885182119559e-7	1.536862430952506e-8	4.970055145172033e-9	3.0922442227737275	Hippocampal_CA4
Hippocampal_CA4	0.13866112277830536	0.19281458557789904	0.00889072943850259	1.3905453937956027	0.06411840074825656	6.8480981840084045e-9	1.0820032678407174e-8	4.201415765118981e-9	2.575330146622792	Amygdala_excitatory
